Time,Year,Month,RegionName,Cases,Population,Incidence
2000-03,2000,3,Bulgaria,0.0,8190876.0,
2000-03,2000,3,Croatia,0.0,4497735.0,
2000-03,2000,3,Cyprus,0.0,690497.0,
2000-03,2000,3,Czechia,0.0,10278098.0,
2000-03,2000,3,Denmark,1.0,5330020.0,0.018761655
2000-03,2000,3,Estonia,0.0,1401250.0,
2000-03,2000,3,Finland,0.0,5171302.0,
2000-03,2000,3,France,0.0,60545022.0,
2000-03,2000,3,Germany,0.0,82163475.0,
2000-03,2000,3,Greece,0.0,10775627.0,
2000-03,2000,3,Hungary,0.0,10221644.0,
2000-03,2000,3,Iceland,0.0,279049.0,
2000-03,2000,3,Ireland,135.0,3777565.0,3.573730696
2000-03,2000,3,Italy,172.0,56923524.0,0.302159788
2000-03,2000,3,Latvia,0.0,2381715.0,
2000-03,2000,3,Liechtenstein,,32426.0,
2000-03,2000,3,Lithuania,0.0,3512074.0,
2000-03,2000,3,Luxembourg,0.0,433600.0,
2000-03,2000,3,Malta,0.0,388759.0,
2000-03,2000,3,Netherlands,59.0,15863950.0,0.371912417
2000-03,2000,3,Norway,0.0,4478497.0,
2000-03,2000,3,Poland,0.0,38263303.0,
2000-03,2000,3,Portugal,0.0,10249022.0,
2000-03,2000,3,Romania,0.0,22455485.0,
2000-03,2000,3,Slovakia,0.0,5398657.0,
2000-03,2000,3,Slovenia,0.0,1987755.0,
2000-03,2000,3,Spain,0.0,40470182.0,
2000-03,2000,3,Sweden,3.0,8861426.0,0.033854596
2000-03,2000,3,United Kingdom,6.0,58785246.0,0.010206642
2000-04,2000,4,Austria,0.0,8002186.0,
2000-04,2000,4,Belgium,0.0,10239085.0,
2000-04,2000,4,Bulgaria,0.0,8190876.0,
2000-04,2000,4,Croatia,0.0,4497735.0,
2000-04,2000,4,Cyprus,0.0,690497.0,
2000-04,2000,4,Czechia,0.0,10278098.0,
2000-04,2000,4,Denmark,0.0,5330020.0,
2000-04,2000,4,Estonia,0.0,1401250.0,
2000-04,2000,4,Finland,0.0,5171302.0,
2000-04,2000,4,France,0.0,60545022.0,
2000-04,2000,4,Germany,0.0,82163475.0,
2000-04,2000,4,Greece,0.0,10775627.0,
2000-04,2000,4,Hungary,0.0,10221644.0,
2000-04,2000,4,Iceland,0.0,279049.0,
2000-04,2000,4,Ireland,466.0,3777565.0,12.335988924
2000-04,2000,4,Italy,178.0,56923524.0,0.312700246
2000-04,2000,4,Latvia,0.0,2381715.0,
2000-04,2000,4,Liechtenstein,,32426.0,
2000-04,2000,4,Lithuania,0.0,3512074.0,
2000-04,2000,4,Luxembourg,0.0,433600.0,
2000-04,2000,4,Malta,0.0,388759.0,
2000-04,2000,4,Netherlands,4.0,15863950.0,0.025214401
2000-04,2000,4,Norway,0.0,4478497.0,
2000-04,2000,4,Poland,0.0,38263303.0,
2000-04,2000,4,Portugal,0.0,10249022.0,
2000-04,2000,4,Romania,0.0,22455485.0,
2000-04,2000,4,Slovakia,0.0,5398657.0,
2000-04,2000,4,Slovenia,0.0,1987755.0,
2000-04,2000,4,Spain,0.0,40470182.0,
2000-04,2000,4,Sweden,0.0,8861426.0,
2000-04,2000,4,United Kingdom,20.0,58785246.0,0.034022142
2000-05,2000,5,Austria,0.0,8002186.0,
2000-05,2000,5,Belgium,0.0,10239085.0,
2000-05,2000,5,Bulgaria,0.0,8190876.0,
2000-05,2000,5,Croatia,0.0,4497735.0,
2000-05,2000,5,Cyprus,0.0,690497.0,
2000-05,2000,5,Czechia,0.0,10278098.0,
2000-05,2000,5,Denmark,0.0,5330020.0,
2000-05,2000,5,Estonia,0.0,1401250.0,
2000-05,2000,5,Finland,0.0,5171302.0,
2000-05,2000,5,France,0.0,60545022.0,
2000-05,2000,5,Germany,0.0,82163475.0,
2000-05,2000,5,Greece,0.0,10775627.0,
2000-05,2000,5,Hungary,0.0,10221644.0,
2000-05,2000,5,Iceland,0.0,279049.0,
2000-05,2000,5,Ireland,301.0,3777565.0,7.96809585
2000-05,2000,5,Italy,322.0,56923524.0,0.565671232
2000-05,2000,5,Latvia,0.0,2381715.0,
2000-05,2000,5,Liechtenstein,,32426.0,
2000-05,2000,5,Lithuania,0.0,3512074.0,
2000-05,2000,5,Luxembourg,0.0,433600.0,
2000-05,2000,5,Malta,0.0,388759.0,
2000-05,2000,5,Netherlands,1.0,15863950.0,0.0063036
